ppm,exposure_time_min,replicate,R,G,B,H,S,V,L,a,b,DeltaE,risk_category
0.0,30,0,92.74507122951685,150.79260354824322,132.97153280715105,82.78454478461204,98.29753987583,150.79260354824322,147.64879456457624,105.57921281550739,132.7674347291529,1.79,Normal / Safe
0.0,1,1,91.12868279896473,150.21224528923278,131.1429297513688,79.11387574337934,91.1623529619192,150.21224528923278,149.42555452359537,104.81644508095133,130.47612400238413,2.24,Normal / Safe
0.0,0,2,91.62343404787134,150.75419932525784,129.7855054602681,82.7304714370708,98.9266344675178,150.75419932525784,148.53332697568365,104.41701110966318,132.83246185712116,1.07,Normal / Safe
0.0,1,3,91.0990419651218,150.56245937531008,131.09744008165592,83.2784172767634,98.9595083257862,150.56245937531008,146.41343360656614,104.82254491210318,130.77915635002898,2.16,Normal / Safe
0.0,15,4,89.93309104426628,150.4703250219894,131.30780142273872,80.59998591776294,98.47114301422272,150.4703250219894,149.8013391579243,104.69839894133172,131.82837116477359,1.94,Normal / Safe
0.0,0,5,91.82652757641763,150.54834445661606,129.78221701444886,79.42023368740794,97.61808368712063,150.54834445661606,149.58568333932837,104.34361828956847,130.23695984463725,2.4,Normal / Safe
0.0,5,6,90.73487011496107,150.23001189190424,131.93469479628976,80.0870486346304,94.31079961624046,150.23001189190424,146.80655351179448,104.9305844007711,132.67776740967335,1.66,Normal / Safe
0.0,5,7,91.68925116484314,150.06478390752255,129.73777006567877,82.14947046367723,98.46680363618803,150.06478390752255,147.38442503697055,105.1797163447007,131.1017920605443,1.61,Normal / Safe
0.0,0,8,88.93336546727012,152.6042213292954,130.5993557386319,81.6763122814809,97.15537272174807,152.6042213292954,148.4993386607334,102.61928297572774,131.71919370847326,1.49,Normal / Safe
0.0,1,9,92.13764116480326,148.01864662809865,131.67049216824373,81.03566885726762,103.43368213422455,148.01864662809865,147.22259467258954,103.1915063971068,131.49824295641545,1.23,Normal / Safe
0.0,15,10,89.79954817223071,152.33894420725923,131.84211429899824,79.06698033292345,97.7557060967836,152.33894420725923,145.90188867759122,103.65591945868869,132.7507858855894,2.25,Normal / Safe
0.0,0,11,93.08612487728881,150.61635304456158,133.27488180609353,78.53301366137333,96.38908513631678,150.61635304456158,147.24003517055272,102.69004931278752,134.9436634164813,3.31,Normal / Safe
0.0,15,12,91.48592822520985,149.79658409616758,131.758071432501,81.1060762852218,104.65855770363159,149.79658409616758,148.26186671924776,104.25755039072277,131.92555408423382,0.37,Normal / Safe
